CO,PM2.5,PM10,TSP,Slope,Air volume,Distance
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.02,0.02,0,0.9,10
0,0.01,0.01,0.02,0,0.9,10
0,0.01,0.01,0.02,0,0.9,10
0,0.02,0.02,0.02,0,0.9,10
0,0.02,0.02,0.02,0,0.9,10
0,0.01,0.01,0.02,0,0.9,10
0,0.01,0.01,0.02,0,0.9,10
0,0.02,0.02,0.02,0,0.9,10
0,0.02,0.02,0.02,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
0,0.01,0.01,0.01,0,0.9,10
4.2,0.01,0.01,0.01,0,0.9,10
14.3,0.01,0.01,0.01,0,0.9,10
29.1,0.1,0.14,0.58,0,0.9,10
47.7,0.1,0.14,0.58,0,0.9,10
69.1,0.12,0.15,0.56,0,0.9,10
103.8,0.15,0.15,0.54,0,0.9,10
128.3,0.17,0.19,0.51,0,0.9,10
153.3,0.18,0.19,0.47,0,0.9,10
178.1,0.18,0.21,0.47,0,0.9,10
200.3,0.2,0.23,0.45,0,0.9,10
217.4,0.2,0.23,0.42,0,0.9,10
228.8,0.22,0.26,0.41,0,0.9,10
234.8,0.22,0.16,0.36,0,0.9,10
236,0.23,0.2,0.34,0,0.9,10
233.2,0.26,0.3,0.31,0,0.9,10
228.1,0.26,0.3,0.31,0,0.9,10
221.1,0.59,0.68,0.7,0,0.9,10
212.8,0.59,0.68,0.7,0,0.9,10
203.3,3.2,3.53,4.08,0,0.9,10
193.2,3.2,3.53,4.08,0,0.9,10
177.6,3.18,3.51,4.04,0,0.9,10
167.4,3.18,3.51,4.04,0,0.9,10
157.5,3.13,3.45,3.97,0,0.9,10
148.1,3.13,3.45,3.97,0,0.9,10
139.1,3.09,3.4,3.91,0,0.9,10
130.7,3.09,3.4,3.91,0,0.9,10
119,3.05,3.35,3.85,0,0.9,10
